"Review" "Review_rating"
"MG Hector is the best mid-size SUV. It feels like luxury cars with the best automatic functions. This car is almost best in everything but its mileage is not too high.
" 5
"This is a perfect SUV. This gives a real feel of SUV it is having so much space for your luggage and persons sitting in it. I think it is the best SUV in this price range. This car is having a nice sound system. I am having its petrol variant. MG also provides diesel variant.
Read More" 5
"Best build quality in its segment, good cabin insulation from the outside world, less NVH level, cabin cooling capacity is quite good.
" 5
"The best car at this budget including all the features and especially the Internet inside concept. This car includes a very nice experience.
" 5
"This is the best car under 20 lacs with lots of features and it is better than other cars and the best car.
" 5
"MG Hector has the best engine and suspension. It has great pickup and an awesome music system. Overall, It is a value for money car.
" 5
"It is a complete package whether you are thriving for power or safety features, MG Hector has it all. The company has left no stones unturned when it comes to the body layout, it looks massive and beautiful at the same time. The interiors of the car are of premium quality and certainly makes the user feel true value for the money.
Read More" 4
"The performance is good. The sunroof is very nice. It is an internet car. AC condition is good in performance.
" 5
"Review" "Review_rating"
"The length and wheelbase are the largest amongst its rivals, though the narrow girth and excessive rear overhang do throw proportions off a bit. The 17-inch wheels also look a size too small. Generous use of chrome means the Hector is big on bling and elements like the split LED DRLs and headlamps set up ensure the MG grabs attention. The MG's cabi...Read More" 5
"It's an amazing car. I like it, it is awesome. The features and everything is good and it has good braking. The mileage is also good.
" 5
"Awesome car with excellent quality features, voice control, excellent looks like a beast and worth for money.
" 5
"I like spacious interior packed with features, refined engine and strong road presence. Fit and finish could be better and the infotainment system is a bit lacky. You just can't miss this car as its sheer size hits you before you even start focusing on the design detail.
Read More" 4
"Nice car with good and heavy looks. It is better than other SUVs. It has nice interiors with best ground clearance and looks like a big SUV. I looked it for the first time and what a great SUV with great design, interiors, great fog lights and nice exteriors. It is the best SUV in 15 lacs.
Read More" 5
"I just love this car. Most advanced car in this price segment and one of the most luxurious car.
" 5
"The car is very comfortable and looks are awesome. Worth for money and boot space is very comfortable. The 360-degree camera is also very useful and the sunroof is also very good.
Read More" 5
"The car facility is cool and fantastic. It looks awesome and the tyres have a strong grip.
" 5
"Nice car with all features of luxury cars. There is enough space. The price range is good in this segment. It is stylish.
" 5
"This car is overrated and doesn't match the hype it created. It doesn't have a good ride quality. 
" 2
"This is the best and only internet car available in India, all functions are operated by mobile app one touch plus the flexibility of seating system and ride comfortable control also nice both in city and highway for long journeys as its first car from Morrise garage its really commendable job from them.
Read More" 5
"MG HECTOR is one of the best and fully loaded SUVs, which was provided at a lower cost in all variants. Ride quality and looks also good. Comfortable seats, panoramic sunroof, inside the internet and AC performance fabulous and it is a very practical car. Mileage is also very good which we get in cities or on highways although you can say that this...Read More" 4
"However MG Hector top model gets all the features that are awesome but in mid-model and basic model we can get very fewer features at that price but any way they gives a powerful engine and high body quality so overall, this vehicle is a nice vehicle but only one this company available only in Chennai in the whole Tamilnadu.
Read More" 4
"Beautiful car with great performance. Looks are great with a very huge cabin space like other cars. Very comfortable for front and rear passengers but disappointed with the mileage as it is only 5 - 7 KMPL, seriously. If you don't have issues with mileage this car is good and great. But don't waste your money on the hybrid model as in hybrid model ...Read More" 4
"MG IS A WONDERFULL CAR. MG HAS BROKEN ALL RECORDS AGAINST TATA HARRIER HYUNDAI CRETA, AND XUV 500. THESE ALL CARS SALES ARE GOING DOWN DAY BY DAY. THE SALE OF HECTOR IS GROWING UP THATS GREAT EXCELLENT CAR I LOVE THIS CAR.
Read More" 5
